pokemon_id,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus
227,Not found in this generation,Not found in this generation,Not found in this generation,Trade from Silver/Crystal,Route 45,Route 45,Route 113,Route 113,Route 113,Seavault Canyon,Trade from Ruby/Sapphire/Emerald/FireRed/Colosseum,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain",Trade from DPtSS,Route 45,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Reversal Mountain,Reversal Mountain,"Victory Road , Friend Safari","Victory Road , Friend Safari",Route 113,Route 113,"Route 10 , Route 17 , Mount Hokulani , Vast Poni Canyon","Route 10 , Route 17 , Mount Hokulani , Vast Poni Canyon","Route 10 , Route 17 , Mount Hokulani , Vast Poni Canyon","Route 10 , Route 17 , Mount Hokulani , Vast Poni Canyon","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Route 227 , Stark Mountain","Route 227 , Stark Mountain",Not found in Legends Arceus
228,Not found in this generation,Not found in this generation,Not found in this generation,Route 7,Route 7,Route 7,Trade from Emerald/XD,Trade from Emerald/XD,Safari Zone Extention & Altering Cave,Altering Cave,Altering Cave,"Transfer from GBA Games, Trade with Pearl",Breed Houndoom,"Route 214, Lake Valor Lakefront","Route 7 , Safari Zone (Special Items)","Route 7 , Safari Zone (Special Items)",Route 9 (Swarm),Trade from Black,Trade Required,Trade Required,Route 10,Trade from X,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Poké Pelago,Trade from Sun/Ultra Sun,Not found in Sword,Not found in Shield,Breed Houndoom,Breed Houndoom,Not found in Legends Arceus
229,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Houndour,Evolve Houndour,Evolve Houndour,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Houndour,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,"Transfer from GBA Games, Trade with Pearl",Routes 214 & 215,Evolve Houndour,Safari Zone (Special Items),Safari Zone (Special Items),Evolve Houndour,Trade from Black,Trade Required,Trade Required,Evolve Houndour,Trade from X,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 12,Trade from Sun/Ultra Sun,Not found in Sword,Not found in Shield,Grand Underground,"Route 214 , Route 215 , Grand Underground",Not found in Legends Arceus
230,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve from Seadra,Evolve from Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,"Route 17, 18, P2 Laboratory(Fish)","Route 17, 18, P2 Laboratory(Fish)","Route 17, 18, P2 Lab","Route 17, 18, P2 Lab",Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,"Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles",Evolve Seadra,Evolve Seadra,Not found in Legends Arceus
231,Not found in this generation,Not found in this generation,Not found in this generation,Trade from Silver/Crystal,Route 45,"Route 45, Route 46",Safari Zone Acro Bike Area,Safari Zone Acro Bike Area,Safari Zone Acro Bike Area,"Canyon Entrance, Seavault Canyon","Canyon Entrance, Seavault Canyon",Swarm in Route 207,Swarm in Route 207,Route 207 - (Swarm),"Route 45, Mt. Silver",Trade from DPtHG,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade with Tetsu in Nimbasa City,Trade with Tetsu in Nimbasa City,Friend Safari,Friend Safari,Breed Donphan,Breed Donphan,Transfer required,Transfer required,Transfer required,Transfer required,Not found in Sword,Not found in Shield,"Route 207 , Grand Underground","Route 207 , Grand Underground",Not found in Legends Arceus
232,Not found in this generation,Not found in this generation,Not found in this generation,Trade from Silver/Crystal,"Mt. Silver, Route 28, Victory Road",Route 45,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve from Phanpy,Evolve from Phanpy,Evolve Phanphy,"Route 28, Mt. Silver, Victory Road",Trade from DPtHG,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,"Safari Zone, Mirage Cave","Safari Zone, Mirage Cave",Transfer required,Transfer required,Transfer required,Transfer required,Not found in Sword,Not found in Shield,Evolve Phanpy,Evolve Phanpy,Not found in Legends Arceus
233,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Porygon,Evolve Porygon,Evolve Porygon,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Porygon,Evolve Porygon,Evolve from Porygon,Evolve from Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Trade from White,Evolve Porygon,Trade Required,Trade Required,Transfer required,Transfer required,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Evolve Porygon,Evolve Porygon,Crimson Mirelands : Space-time Distortion in Crimson Mirelands or nearby
234,Not found in this generation,Not found in this generation,Not found in this generation,"Route 36, Route 37","Route 36, Route 37",Route 37,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,"Safari Zone Extention, Altering Cave",Altering Cave,Altering Cave,"Transfer from GBA Games, Trade with Pearl",Route 207,Route 207 (PokeRadar),"Route 37, Route 36, Route 37 , Safari Zone","Route 37, Route 36, Route 37 , Safari Zone",Abundant Shrine,Abundant Shrine,Trade Required,Trade Required,Transfer required,Transfer required,Mirage Mountain,Mirage Mountain,Transfer required,Transfer required,Transfer required,Transfer required,Not found in Sword,Not found in Shield,Trade from Pokémon Shining Pearl,Route 207,"Obsidian Fieldlands : Deertrack Heights or nearby , Coronet Highlands : Wayward Wood or nearby , Obsidian Fieldlands : Massive Mass Outbreak"
235,Not found in this generation,Not found in this generation,Not found in this generation,Ruins of Alph,Ruins of Alph,Ruins of Alph,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,"Artisan's Cave Floors 1 & 2, Altering Cave",Altering Cave,Altering Cave,Route 212-North,Route 212-North,"Route 208, Route 212 North (PokeRadar)","Ruins of Alph , Safari Zone","Ruins of Alph , Safari Zone",Route 5 (Swarm),Route 5 (Swarm),Trade Required,Trade Required,"Route 7 , Friend Safari","Route 7 , Friend Safari",Trade from X & Y,Trade from X & Y,Route 2,Route 2,Route 2,Route 2,Not found in Sword,Not found in Shield,Route 212,Route 212,Not found in Legends Arceus
236,Not found in this generation,Not found in this generation,Not found in this generation,Gift in Mt. Mortar,Gift in Mt. Mortar,Gift in Mt. Mortar,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Breed Hitmonchan/Hitmonlee/Hitmontop,Breed Hitmonchan/Hitmonlee/Hitmontop,Routes 208 & 211-West,Routes 208 & 211-West,Route 211 West (PokeRadar),Receive from Karate King in Mt. Mortar,Receive from Karate King in Mt. Mortar,Route 10 (Swarm),Route 10 (Swarm),Trade Required,Trade Required,Friend Safari,Friend Safari,"Route 112, Fiery Path","Route 112, Fiery Path",Transfer required,Transfer required,Transfer required,Transfer required,"Route 3 , Dappled Grove , Giant's Seat , Rolling Fields , South Lake Miloch , Stony Wilderness , West Lake Axewell , Max Raid Battles: Dusty Bowl , North Lake Miloch , Rolling Fields , South Lake Miloch , Stony Wilderness","Route 3 , Dappled Grove , Giant's Seat , Rolling Fields , South Lake Miloch , Stony Wilderness , West Lake Axewell , Max Raid Battles: Dusty Bowl , North Lake Miloch , Rolling Fields , South Lake Miloch , Stony Wilderness","Route 208 , Route 211 , Grand Underground","Route 208 , Route 211 , Grand Underground",Not found in Legends Arceus
237,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Evolve from Tyrogue,Evolve from Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Trade Required,Trade Required,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Transfer required,Transfer required,Transfer required,Transfer required,"Lake of Outrage , Max Raid Battles: Rolling Fields , South Lake Miloch , Stony Wilderness","Lake of Outrage , Max Raid Battles: Rolling Fields , South Lake Miloch , Stony Wilderness",Evolve Tyrogue,Evolve Tyrogue,Not found in Legends Arceus
238,Not found in this generation,Not found in this generation,Not found in this generation,Breed Jynx,Breed Jynx,"Hatch from Odd Egg , Breed Jynx",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Breed Jynx,Breed Jynx,Swarm in Lake Acuity,Swarm in Lake Acuity,Snowpoint Temple,Breed Jynx,Breed Jynx,Breed Jynx,Breed Jynx,Trade Required,Trade Required,Frost Cavern,Frost Cavern,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Seaward Cave,Seaward Cave,"Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Lake Acuity , Grand Underground","Lake Acuity , Grand Underground",Not found in Legends Arceus
239,Not found in this generation,Not found in this generation,Not found in this generation,Breed Electabuzz,Breed Electabuzz,"Hatch from Odd Egg , Breed Electabuzz",Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Breed Electabuzz,Trade from FireRed/XD,"Route 204-South, Valley Windworks FR Inserted into DS","Route 204-South, Valley Windworks FR Inserted into DS",Breed Electabuzz,Breed Electabuzz/Electivire,Breed Electabuzz/Electivire,Trade from White,White Forest,Trade Required,Virbank Complex,Breed Electabuzz,Breed Electabuzz,Mirage Mountain,Mirage Mountain,"Route 12 , Blush Mountain","Route 12 , Blush Mountain","Blush Mountain , Mount Hokulani","Blush Mountain , Mount Hokulani","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles",Grand Underground,Trade from Pokémon Brilliant Diamond,"Coronet Highlands : Cloudcap Pass or nearby , Alabaster Icelands : Arena's Approach , Icebound Falls or nearby , Coronet Highlands : Massive Mass Outbreak"
240,Not found in this generation,Not found in this generation,Not found in this generation,Breed Magmar,Breed Magmar,"Hatch from Odd Egg , Breed Magmar",Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Breed Magmar,"Stark Mountain, Route 227 LG Inserted into DS","Stark Mountain, Route 227 LG Inserted into DS",Breed Magmar,Breed Magmar/Magmortar,Breed Magmar/Magmortar,Trade from White,White Forest,Virbank Complex,Trade Required,Breed Magmar,Breed Magmar,Mirage Mountain,Mirage Mountain,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,"Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles",Trade from Pokémon Shining Pearl,Grand Underground,"Cobalt Coastlands : Firespit Island or nearby , Cobalt Coastlands : Massive Mass Outbreak , Alabaster Icelands : Massive Mass Outbreak"
241,Not found in this generation,Not found in this generation,Not found in this generation,"Route 38, Route 39","Route 38, Route 39","Route 38, Route 39",Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Safari Zone Extention,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Routes 209 & 210-South,Routes 209 & 210-South,Route 210 South (PokeRadar),"Route 38, Route 39, Route 47","Route 38, Route 39, Route 47",None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Route 12,Route 12,Trade from X & Y,Trade from X & Y,"Paniola Ranch , Poni Plains","Paniola Ranch , Poni Plains","Paniola Ranch , Poni Plains","Paniola Ranch , Poni Plains","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Route 209 , Route 210 , Grand Underground","Route 209 , Route 210 , Grand Underground",Not found in Legends Arceus
242,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Chansey,Evolve Chansey,Evolve Chansey,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Chansey,Evolve Chansey,Evolve from Chansey,Evolve from Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Trade from White,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Evolve Chansey,Poni Plains (SOS Only),Poni Plains (SOS Only),"Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles","Transfer from Pokémon HOME or Trade with players with Expansion Pass , Max Raid Battles",Evolve Chansey,Evolve Chansey,"Obsidian Fieldlands : Obsidian Falls or nearby , Alabaster Icelands : Avalanche Slopes or nearby , Cobalt Coastlands : Massive Mass Outbreak"
243,Not found in this generation,Not found in this generation,Not found in this generation,Roaming Johto,Roaming Johto,Roaming Johto,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Squirtle,Wild in Kanto after Elite 4 when Starter chosen was Squirtle,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Roaming Johto,Roaming Johto,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Trackless Forest,Trackless Forest,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Ultra Space Wilds,Trade from Ultra Sun,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Ramanas Park,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
244,Not found in this generation,Not found in this generation,Not found in this generation,Roaming Johto,Roaming Johto,Roaming Johto,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Bulbasaur,Wild in Kanto after Elite 4 when Starter chosen was Bulbasaur,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Roaming Johto,Roaming Johto,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Trackless Forest,Trackless Forest,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Moon,Ultra Space Wilds,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Ramanas Park,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
245,Not found in this generation,Not found in this generation,Not found in this generation,Roaming Johto,Roaming Johto,Tin Tower,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Charmander,Wild in Kanto after Elite 4 when Starter chosen was Charmander,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Route 25,Route 25,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Trackless Forest,Trackless Forest,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Ultra Space Wilds,Ultra Space Wilds,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Ramanas Park,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
246,Not found in this generation,Not found in this generation,Not found in this generation,Mt. Silver,Mt. Silver,Mt. Silver,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen,Seavault Canyon,Seavault Canyon,Route 207,"Transfer from GBA Games, Trade with Diamond",Route 206 - (Swarm),"Mt. Silver , Safari Zone","Mt. Silver , Safari Zone",Breed Pupitar,Breed Pupitar,Breed Pupitar,Breed Pupitar,Trade from Y,Terminus Cave,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Diglett's Tunnel,Diglett's Tunnel,Trade from Shield,"Lake of Outrage , Max Raid Battles: Giant's Seat , Rolling Fields , Stony Wilderness","Route 207 , Grand Underground",Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
247,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Larvitar,Evolve Larvitar,Mt. Silver,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Larvitar,Evolve Larvitar,Evolve from Larvitar,"Transfer from GBA Games, Trade with Diamond",Evolve Larvitar,Mt. Silver,Mt. Silver,Route 15,Route 15,Route 15,Route 15,"Trade from Y , Friend Safari","Route 18, Terminus Cave , Friend Safari",Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Larvitar,Evolve Larvitar,Trade from Shield,"Lake of Outrage , Max Raid Battles: Giant's Seat , Rolling Fields , Stony Wilderness",Grand Underground,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
248,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Pupitar,Evolve Pupitar,Evolve Pupitar,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Pupitar,Evolve Pupitar,Evolve from Pupitar,"Transfer from GBA Games, Trade with Diamond",Evolve Pupitar,Evolve Pupitar,Evolve Pupitar,Route 15,Route 15,Route 15,Route 15,Trade from Y,Evolve Pupitar,Trade from X & Y,Trade from X & Y,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Pupitar,Evolve Pupitar,Trade from Shield,"Dusty Bowl , Max Raid Battles: Bridge Field , Dusty Bowl , Giant's Mirror , Giant's Seat , Rolling Fields , Stony Wilderness , West Lake Axewell",Evolve Pupitar,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
249,Not found in this generation,Not found in this generation,Not found in this generation,Whirl Islands,Whirl Islands,Whirl Islands,Trade from Emerald/FireRed/LeafGreen/XD,Trade from Emerald/FireRed/LeafGreen/XD,Navel Rock,Navel Rock,Navel Rock,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Whirl Islands,Whirl Islands,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Trade from Alpha Sapphire,Sea Mauville,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Moon,Ultra Space Wilds,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Trade from Pokémon Shining Pearl,Ramanas Park,Not found in Legends Arceus
250,Not found in this generation,Not found in this generation,Not found in this generation,Tin Tower,Tin Tower,Tin Tower,Trade from Emerald/FireRed/LeafGreen/Colosseum,Trade from Emerald/FireRed/LeafGreen/Colosseum,Navel Rock,Navel Rock,Navel Rock,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Bell Tower,Bell Tower,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Sea Mauville,Trade from Omega Ruby,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Ultra Space Wilds,Trade from Ultra Sun,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Ramanas Park,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
251,Not found in this generation,Not found in this generation,Not found in this generation,Event Only,Event Only,Ilex Forest,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Trade from DPt,Trade from DPt,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Transfer or receive from event,Transfer or receive from event,Transfer required,Transfer required,Transfer required,Transfer required,Transfer through Pokémon HOME or through events,Transfer through Pokémon HOME or through events,Transfer from Pokémon HOME,Transfer from Pokémon HOME,Not found in Legends Arceus
252,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Steven Stone in Silph Co.,Receive from Steven Stone in Silph Co.,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Starter Pokemon,Starter Pokemon,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Breed Grovyle,Breed Grovyle,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Grand Underground,Grand Underground,Not found in Legends Arceus
253,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Treecko,Evolve Treecko,Evolve Treecko,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Treecko,Evolve Treecko,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Evolve Treecko,Evolve Treecko,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 5 - Island Scan (Friday),Route 5 - Island Scan (Friday),Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Evolve Treecko,Evolve Treecko,Not found in Legends Arceus
254,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Grovyle,Evolve Grovyle,Evolve Grovyle,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Grovyle,Evolve Grovyle,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Evolve Grovyle,Evolve Grovyle,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Grovyle,Evolve Grovyle,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Evolve Grovyle,Evolve Grovyle,Not found in Legends Arceus
255,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Steven Stone in Silph Co.,Receive from Steven Stone in Silph Co.,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Starter Pokemon,Starter Pokemon,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Breed Combusken,Breed Combusken,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Grand Underground,Grand Underground,Not found in Legends Arceus
256,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Torchic,Evolve Torchic,Evolve Torchic,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Torchic,Evolve Torchic,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Evolve Torchic,Evolve Torchic,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 8 - Island Scan (Tuesday),Route 8 - Island Scan (Tuesday),Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Evolve Torchic,Evolve Torchic,Not found in Legends Arceus
257,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Evolve Combusken,Evolve Combusken,Evolve Combusken,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Evolve Combusken,Evolve Combusken,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Evolve Combusken,Evolve Combusken,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Combusken,Evolve Combusken,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Evolve Combusken,Evolve Combusken,Not found in Legends Arceus
258,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Not found in this generation,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Transfer from GBA via Pal Park,Transfer from GBA via Pal Park,None - Pal Park from 3rd Gen,Receive from Steven Stone in Silph Co.,Receive from Steven Stone in Silph Co.,None. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Trade Required,Trade Required,Transfer required,Transfer required,Starter Pokemon,Starter Pokemon,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Breed Marshtomp,Breed Marshtomp,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Transfer from Pokémon HOME or Trade with players with Expansion Pass,Grand Underground,Grand Underground,Not found in Legends Arceus
