pokedex_number,name,generation,classification,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
81,Magnemite,1,Magnet Pokemon,"['Magnet Pull', 'Sturdy', 'Analytic']",0.3,6,Electric,Steel,325,25,35,70,95,55,45,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,190,"5,140",70,0,0,0
82,Magneton,1,Magnet Pokemon,"['Magnet Pull', 'Sturdy', 'Analytic']",1,60,Electric,Steel,465,50,60,95,120,70,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,"5,140",70,0,0,0
83,Farfetch'D,1,Wild Duck Pokemon,"['Keen Eye', 'Inner Focus', 'Defiant']",0.8,15,Normal,Flying,377,52,90,55,58,62,60,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,"5,140",70,0,0,0
84,Doduo,1,Twin Bird Pokemon,"['Run Away', 'Early Bird', 'Tangled Feet']",1.4,39.2,Normal,Flying,310,35,85,45,35,35,75,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,190,"5,140",70,0,0,0
85,Dodrio,1,Triple Bird Pokemon,"['Run Away', 'Early Bird', 'Tangled Feet']",1.8,85.2,Normal,Flying,470,60,110,70,60,60,110,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,"5,140",70,0,0,0
86,Seel,1,Sea Lion Pokemon,"['Thick Fat', 'Hydration', 'Ice Body']",1.1,90,Water,None,325,65,45,55,45,70,45,1,1,1,2,1,1,0.25,1,1,2,1,0.25,1,1,1,1,0.5,0.5,190,"5,140",70,0,0,0
87,Dewgong,1,Sea Lion Pokemon,"['Thick Fat', 'Hydration', 'Ice Body']",1.7,120,Water,Ice,475,90,70,80,70,95,70,1,1,1,2,1,2,0.5,1,1,2,1,0.125,1,1,1,2,1,0.5,75,"5,140",70,0,0,0
88,Grimer,1,Sludge Pokemon,"['Stench', 'Sticky Hold', 'Poison Touch']",0.9,30,Poison,None,325,80,80,50,40,50,25,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,190,"5,140",70,0,0,0
88,Alolan Grimer,1,Sludge Pokemon,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",0.7,42,Poison,Dark,325,80,80,50,40,50,25,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,190,"5,140",70,0,0,0
89,Muk,1,Sludge Pokemon,"['Stench', 'Sticky Hold', 'Poison Touch']",1.2,30,Poison,None,500,105,105,75,65,100,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,75,"5,140",70,0,0,0
89,Alolan Muk,1,Sludge Pokemon,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",1,52,Poison,Dark,500,105,105,75,65,100,50,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,75,"5,140",70,0,0,0
90,Shellder,1,Bivalve Pokemon,"['Shell Armor', 'Skill Link', 'Overcoat']",0.3,4,Water,None,305,30,65,100,45,25,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,"5,140",70,0,0,0
91,Cloyster,1,Bivalve Pokemon,"['Shell Armor', 'Skill Link', 'Overcoat']",1.5,132.5,Water,Ice,525,50,95,180,85,45,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,60,"5,140",70,0,0,0
92,Gastly,1,Gas Pokemon,['Levitate'],1.3,0.1,Ghost,Poison,310,30,35,30,100,35,80,0.25,2,1,1,0.5,0,1,1,2,0.5,0,1,0,0.25,2,1,1,1,190,"5,140",70,0,0,0
93,Haunter,1,Gas Pokemon,['Levitate'],1.6,0.1,Ghost,Poison,405,45,50,45,115,55,95,0.25,2,1,1,0.5,0,1,1,2,0.5,0,1,0,0.25,2,1,1,1,90,"5,140",70,0,0,0
94,Gengar,1,Shadow Pokemon,['Cursed Body'],1.5,40.5,Ghost,Poison,500,60,65,60,130,75,110,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,45,"5,140",70,0,0,0
94,Mega Gengar,1,Shadow Pokemon,['Shadow Tag'],1.4,40.5,Ghost,Poison,600,60,65,80,170,95,130,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,45,"5,140",70,0,0,1
95,Onix,1,Rock Snake Pokemon,"['Rock Head', 'Sturdy', 'Weak Armor']",8.8,210,Rock,Ground,385,35,45,160,30,45,70,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,"6,425",70,0,0,0
96,Drowzee,1,Hypnosis Pokemon,"['Insomnia', 'Forewarn', 'Inner Focus']",1,32.4,Psychic,None,328,60,48,45,43,90,42,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,"5,140",70,0,0,0
97,Hypno,1,Hypnosis Pokemon,"['Insomnia', 'Forewarn', 'Inner Focus']",1.6,75.6,Psychic,None,483,85,73,70,73,115,67,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,"5,140",70,0,0,0
98,Krabby,1,River Crab Pokemon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",0.4,6.5,Water,None,325,30,105,90,25,25,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,"5,140",70,0,0,0
99,Kingler,1,Pincer Pokemon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.3,60,Water,None,475,55,130,115,50,50,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,"5,140",70,0,0,0
100,Voltorb,1,Ball Pokemon,"['Soundproof', 'Static', 'Aftermath']",0.5,10.4,Electric,None,330,40,30,50,55,55,100,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,"5,140",70,0,0,0
101,Electrode,1,Ball Pokemon,"['Soundproof', 'Static', 'Aftermath']",1.2,66.6,Electric,None,490,60,50,70,80,80,150,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,"5,140",70,0,0,0
102,Exeggcute,1,Egg Pokemon,"['Chlorophyll', 'Harvest']",0.4,2.5,Grass,Psychic,325,60,40,80,60,45,40,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,90,"5,140",70,0,0,0
103,Exeggutor,1,Coconut Pokemon,"['Chlorophyll', 'Harvest']",2,120,Grass,Psychic,530,95,95,85,125,75,55,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,45,"5,140",70,0,0,0
103,Alolan Exeggutor,1,Coconut Pokemon,"['Frisk', 'Harvest']",10.9,415.6,Grass,Dragon,530,95,105,85,125,75,45,2,1,2,0.25,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25,45,"5,140",70,0,0,0
104,Cubone,1,Lonely Pokemon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",0.4,6.5,Ground,None,320,50,50,95,40,50,35,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,190,"5,140",70,0,0,0
105,Marowak,1,Bone Keeper Pokemon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",1,45,Ground,None,425,60,80,110,50,80,45,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,"5,140",70,0,0,0
105,Alolan Marowak,1,Bone Keeper Pokemon,"['Cursed Body', 'Lightning Rod', 'Rock Head']",1,34,Fire,Ghost,425,60,80,110,50,80,45,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2,75,"5,140",70,0,0,0
106,Hitmonlee,1,Kicking Pokemon,"['Limber', 'Reckless', 'Unburden']",1.5,49.8,Fighting,None,455,50,120,53,35,110,87,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,"6,425",70,0,0,0
107,Hitmonchan,1,Punching Pokemon,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1.4,50.2,Fighting,None,455,50,105,79,35,110,76,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,"6,425",70,0,0,0
108,Lickitung,1,Licking Pokemon,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.2,65.5,Normal,None,385,90,55,75,60,75,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
109,Koffing,1,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Stench']",0.6,1,Poison,None,340,40,65,95,60,45,35,0.5,1,1,1,0.5,0.5,1,1,1,0.5,0,1,1,0.5,2,1,1,1,190,"5,140",70,0,0,0
110,Weezing,1,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Stench']",1.2,9.5,Poison,None,490,65,90,120,85,70,60,0.5,1,1,1,0.5,0.5,1,1,1,0.5,0,1,1,0.5,2,1,1,1,60,"5,140",70,0,0,0
110,Galarian Weezing,1,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Misty Surge']",3,16,Poison,Fairy,490,65,90,120,85,70,60,0.25,0.5,0,1,0.5,0.25,1,1,1,0.5,0,1,1,1,2,1,2,1,60,"5,140",70,0,0,0
111,Rhyhorn,1,Spikes Pokemon,"['Lightning Rod', 'Rock Head', 'Reckless']",1,115,Ground,Rock,345,80,85,95,30,30,25,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,"5,140",70,0,0,0
112,Rhydon,1,Drill Pokemon,"['Lightning Rod', 'Rock Head', 'Reckless']",1.9,120,Ground,Rock,485,105,130,120,45,45,40,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,60,"5,140",70,0,0,0
113,Chansey,1,Egg Pokemon,"['Natural Cure', 'Serene Grace', 'Healer']",1.1,34.6,Normal,None,450,250,5,5,35,105,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,"10,280",140,0,0,0
114,Tangela,1,Vine Pokemon,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1,35,Grass,None,435,65,55,115,100,40,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
115,Kangaskhan,1,Parent Pokemon,"['Early Bird', 'Scrappy', 'Inner Focus']",2.2,80,Normal,None,490,105,95,80,40,80,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
115,Mega Kangaskhan,1,Parent Pokemon,['Parental Bond'],2.2,100,Normal,None,590,105,125,100,60,100,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,1
116,Horsea,1,Dragon Pokemon,"['Swift Swim', 'Sniper', 'Damp']",0.4,8,Water,None,295,30,40,70,70,25,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,"5,140",70,0,0,0
117,Seadra,1,Dragon Pokemon,"['Poison Point', 'Sniper', 'Damp']",1.2,25,Water,None,440,55,65,95,95,45,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,"5,140",70,0,0,0
118,Goldeen,1,Goldfish Pokemon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",0.6,15,Water,None,320,45,67,60,35,50,63,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,"5,140",70,0,0,0
119,Seaking,1,Goldfish Pokemon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",1.3,39,Water,None,450,80,92,65,65,80,68,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,"5,140",70,0,0,0
120,Staryu,1,Star Shape Pokemon,"['Illuminate', 'Natural Cure', 'Analytic']",0.8,34.5,Water,None,340,30,45,55,70,55,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,225,"5,140",70,0,0,0
121,Starmie,1,Mysterious Pokemon,"['Illuminate', 'Natural Cure', 'Analytic']",1.1,80,Water,Psychic,520,60,75,85,100,85,115,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,60,"5,140",70,0,0,0
122,Mr. Mime,1,Barrier Pokemon,"['Soundproof', 'Filter', 'Technician']",1.3,54.5,Psychic,Fairy,460,40,45,65,100,120,90,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,"6,425",70,0,0,0
123,Scyther,1,Mantis Pokemon,"['Swarm', 'Technician', 'Steadfast']",1.5,56,Bug,Flying,500,70,110,80,55,80,105,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,"6,425",70,0,0,0
124,Jynx,1,Human Shape Pokemon,"['Oblivious', 'Forewarn', 'Dry Skin']",1.4,40.6,Ice,Psychic,455,65,50,35,115,95,95,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,"6,425",70,0,0,0
125,Electabuzz,1,Electric Pokemon,"['Static', 'Vital Spirit']",1.1,30,Electric,None,490,65,83,57,95,85,105,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,"6,425",70,0,0,0
126,Magmar,1,Spitfire Pokemon,"['Flame Body', 'Vital Spirit']",1.3,44.5,Fire,None,495,65,95,57,100,85,93,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"6,425",70,0,0,0
127,Pinsir,1,Stag Beetle Pokemon,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.5,55,Bug,None,500,65,125,100,55,70,85,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,"6,425",70,0,0,0
127,Mega Pinsir,1,Stag Beetle Pokemon,['Aerilate'],1.7,59,Bug,Flying,600,65,155,120,65,90,105,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,"6,425",70,0,0,1
128,Tauros,1,Wild Bull Pokemon,"['Intimidate', 'Anger Point', 'Sheer Force']",1.4,88.4,Normal,None,490,75,100,95,40,70,110,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
129,Magikarp,1,Fish Pokemon,"['Swift Swim', 'Rattled']",0.9,10,Water,None,200,20,10,55,15,20,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,255,"1,285",70,0,0,0
130,Gyarados,1,Atrocious Pokemon,"['Intimidate', 'Moxie']",6.5,235,Water,Flying,540,95,125,79,60,100,81,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,45,"1,285",70,0,0,0
130,Mega Gyarados,1,Atrocious Pokemon,['Mold Breaker'],6.5,305,Water,Dark,640,95,155,109,70,130,81,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,45,"1,285",70,0,0,0
131,Lapras,1,Transport Pokemon,"['Water Absorb', 'Shell Armor', 'Hydration']",2.5,220,Water,Ice,535,130,85,80,85,95,60,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0,45,"10,280",70,0,0,0
132,Ditto,1,Transform Pokemon,"['Limber', 'Imposter']",0.3,4,Normal,None,288,48,48,48,48,48,48,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,"5,140",70,0,0,0
133,Eevee,1,Evolution Pokemon,"['Run Away', 'Adaptability', 'Anticipation']",0.3,6.5,Normal,None,325,55,55,50,45,65,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"8,995",70,0,0,0
134,Vaporeon,1,Bubble Jet Pokemon,"['Water Absorb', 'Hydration']",1,29,Water,None,525,130,65,60,110,95,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,45,"8,995",70,0,0,0
135,Jolteon,1,Lightning Pokemon,"['Volt Absorb', 'Quick Feet']",0.8,24.5,Electric,None,525,65,65,60,110,95,130,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,"8,995",70,0,0,0
136,Flareon,1,Flame Pokemon,"['Flash Fire', 'Guts']",0.9,25,Fire,None,525,65,130,60,95,110,65,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"8,995",70,0,0,0
137,Porygon,1,Virtual Pokemon,"['Trace', 'Download', 'Analytic']",0.8,36.5,Normal,None,395,65,60,70,85,75,40,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,"5,140",70,0,0,0
138,Omanyte,1,Spiral Pokemon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",0.4,7.5,Rock,Water,355,35,40,100,90,55,35,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,"7,710",70,0,0,0
139,Omastar,1,Spiral Pokemon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,35,Rock,Water,495,70,60,125,115,70,55,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,"7,710",70,0,0,0
140,Kabuto,1,Shellfish Pokemon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",0.5,11.5,Rock,Water,355,30,80,90,55,45,55,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,"7,710",70,0,0,0
141,Kabutops,1,Shellfish Pokemon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.3,40.5,Rock,Water,495,60,115,105,65,70,80,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,45,"7,710",70,0,0,0
142,Aerodactyl,1,Fossil Pokemon,"['Rock Head', 'Pressure', 'Unnerve']",1.8,59,Rock,Flying,515,80,105,65,60,75,130,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,45,"8,995",70,0,0,0
142,Mega Aerodactyl,1,Fossil Pokemon,['Tough Claws'],2.1,79,Rock,Flying,615,80,135,85,70,95,150,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,45,"8,995",70,0,0,1
143,Snorlax,1,Sleeping Pokemon,"['Immunity', 'Thick Fat', 'Gluttony']",2.1,460,Normal,None,540,160,110,65,65,110,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,25,"10,280",70,0,0,0
144,Articuno,1,Freeze Pokemon,"['Pressure', 'Snow Cloak']",1.7,55.4,Ice,Flying,580,90,85,100,95,125,85,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,3,"20,560",35,1,0,0
145,Zapdos,1,Electric Pokemon,"['Pressure', 'Static']",1.6,52.6,Electric,Flying,580,90,90,85,125,90,100,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,3,"20,560",35,1,0,0
146,Moltres,1,Flame Pokemon,"['Pressure', 'Flame Body']",2,60,Fire,Flying,580,90,100,90,125,85,90,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,3,"20,560",35,1,0,0
147,Dratini,1,Dragon Pokemon,"['Shed Skin', 'Marvel Scale']",1.8,3.3,Dragon,None,300,41,64,45,50,50,50,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,45,"10,280",35,0,0,0
148,Dragonair,1,Dragon Pokemon,"['Shed Skin', 'Marvel Scale']",4,16.5,Dragon,None,420,61,84,65,70,70,70,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,45,"10,280",35,0,0,0
149,Dragonite,1,Dragon Pokemon,"['Inner Focus', 'Multiscale']",2.2,210,Dragon,Flying,600,91,134,95,100,100,80,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,45,"10,280",35,0,0,0
150,Mewtwo,1,Genetic Pokemon,"['Pressure', 'Unnerve']",2,122,Psychic,None,680,106,110,90,154,90,130,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,3,"30,840",0,1,0,0
150,Mega Mewtwo X,1,Genetic Pokemon,['Steadfast'],2.3,127,Psychic,Fighting,780,106,190,100,154,100,130,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,3,"30,840",0,1,0,1
150,Mega Mewtwo Y,1,Genetic Pokemon,['Insomnia'],1.5,33,Psychic,None,780,106,150,70,194,120,140,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,3,"30,840",0,1,0,1
151,Mew,1,New Species Pokemon,['Synchronize'],0.4,4,Psychic,None,600,100,100,100,100,100,100,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,"30,840",100,0,1,0
152,Chikorita,2,Leaf Pokemon,"['Overgrow', 'Leaf Guard']",0.9,6.4,Grass,None,318,45,49,65,49,65,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
153,Bayleef,2,Leaf Pokemon,"['Overgrow', 'Leaf Guard']",1.2,15.8,Grass,None,405,60,62,80,63,80,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
154,Meganium,2,Herb Pokemon,"['Overgrow', 'Leaf Guard']",1.8,100.5,Grass,None,525,80,82,100,83,100,80,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,"5,140",70,0,0,0
155,Cyndaquil,2,Fire Mouse Pokemon,"['Blaze', 'Flash Fire']",0.5,7.9,Fire,None,309,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
156,Quilava,2,Volcano Pokemon,"['Blaze', 'Flash Fire']",0.9,19,Fire,None,405,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
157,Typhlosion,2,Volcano Pokemon,"['Blaze', 'Flash Fire']",1.7,79.5,Fire,None,534,78,84,78,109,85,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,"5,140",70,0,0,0
158,Totodile,2,Big Jaw Pokemon,"['Torrent', 'Sheer Force']",0.6,9.5,Water,None,314,50,65,64,44,48,43,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
159,Croconaw,2,Big Jaw Pokemon,"['Torrent', 'Sheer Force']",1.1,25,Water,None,405,65,80,80,59,63,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
160,Feraligatr,2,Big Jaw Pokemon,"['Torrent', 'Sheer Force']",2.3,88.8,Water,None,530,85,105,100,79,83,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,"5,140",70,0,0,0
161,Sentret,2,Scout Pokemon,"['Run Away', 'Keen Eye', 'Frisk']",0.8,6,Normal,None,215,35,46,34,35,45,20,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,"3,855",70,0,0,0
162,Furret,2,Long Body Pokemon,"['Run Away', 'Keen Eye', 'Frisk']",1.8,32.5,Normal,None,415,85,76,64,45,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,"3,855",70,0,0,0
163,Hoothoot,2,Owl Pokemon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.7,21.2,Normal,Flying,262,60,30,30,36,56,50,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,"3,855",70,0,0,0
164,Noctowl,2,Owl Pokemon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1.6,40.8,Normal,Flying,452,100,50,50,86,96,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,"3,855",70,0,0,0
165,Ledyba,2,Five Star Pokemon,"['Swarm', 'Early Bird', 'Rattled']",1,10.8,Bug,Flying,265,40,20,30,40,80,55,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,255,"3,855",70,0,0,0
166,Ledian,2,Five Star Pokemon,"['Swarm', 'Early Bird', 'Iron Fist']",1.4,35.6,Bug,Flying,390,55,35,50,55,110,85,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,"3,855",70,0,0,0
167,Spinarak,2,String Spit Pokemon,"['Swarm', 'Insomnia', 'Sniper']",0.5,8.5,Bug,Poison,250,40,60,40,40,40,30,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,"3,855",70,0,0,0
168,Ariados,2,Long Leg Pokemon,"['Swarm', 'Insomnia', 'Sniper']",1.1,33.5,Bug,Poison,400,70,90,70,60,70,40,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,"3,855",70,0,0,0
169,Crobat,2,Bat Pokemon,"['Inner Focus', 'Infiltrator']",1.8,75,Poison,Flying,535,85,90,80,70,80,130,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,"3,855",70,0,0,0
170,Chinchou,2,Angler Pokemon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",0.5,12,Water,Electric,330,75,38,38,56,56,67,1,1,1,0,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,190,"5,140",70,0,0,0
171,Lanturn,2,Light Pokemon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.2,22.5,Water,Electric,460,125,58,58,76,76,67,1,1,1,0,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,75,"5,140",70,0,0,0
172,Pichu,2,Tiny Mouse Pokemon,"['Static', 'Lightning Rod']",0.3,2,Electric,None,205,20,40,15,35,35,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,"2,570",70,0,0,0
173,Cleffa,2,Star Shape Pokemon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.3,3,Fairy,None,218,50,25,28,45,55,15,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,150,"2,570",140,0,0,0
174,Igglybuff,2,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Friend Guard']",0.3,1,Normal,Fairy,210,90,30,15,40,20,15,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,170,"2,570",70,0,0,0
175,Togepi,2,Spike Ball Pokemon,"['Hustle', 'Serene Grace', 'Super Luck']",0.3,1.5,Fairy,None,245,35,20,65,40,65,20,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,190,"2,570",70,0,0,0
